,CompanyName,titanium_count,product_count,percent_titanium_dioxide
282,Reforma Group,7,13,53.85%
284,The Mentholatum Company,7,8,87.50%
285,The Kroger Co.,7,12,58.33%
286,Chrome Hearts LLC,7,22,31.82%
287,"DERMAQUEST, INC.",7,15,46.67%
288,Pinnacle Cosmetics,7,8,87.50%
289,Cosswiss AG,7,8,87.50%
293,Champneys Henlow Limited,7,10,70.00%
294,"Energizer Personal Care, LLC",7,15,46.67%
295,"Entity Beauty, Inc.",7,8,87.50%
296,Alberto Culver,6,15,40.00%
297,"Deb USA, Inc.",6,50,12.00%
298,"Aloe Vera of America, Inc.",6,16,37.50%
304,MULTALER & CIE S.A.,6,24,25.00%
305,"Jan Marini Skin Research, Inc.",6,20,30.00%
306,Framesi-North America,6,17,35.29%
310,"ZO Skin Health, Inc",6,39,15.38%
311,"Farouk Systems, Inc.",5,450,1.11%
312,"GOJO Industries, Inc.",5,34,14.71%
315,Malin & Goetz,5,8,62.50%
316,"The Hain Celestial Group, Inc",5,72,6.94%
317,"Kingman Industries, Inc",5,10,50.00%
318,Valeant Pharmaceuticals North America,5,21,23.81%
320,Earth Essentials,5,17,29.41%
323,ANC SPA INC,5,7,71.43%
327,Sexy Hair,5,7,71.43%
329,Neoteric Cosmetics Inc,5,14,35.71%
330,Exclusive Fragrances & Cosmetics,5,64,7.81%
335,Sexy Hair Concepts,4,6,66.67%
340,Pacha Soap Co.,4,7,57.14%
341,PARFUMS GIVENCHY S.A.,4,5,80.00%
342,Pure & Basic Products,4,12,33.33%
347,Kate Somerville Skin Care,4,6,66.67%
353,"Enchante Accessories, Inc.",4,26,15.38%
355,ProStrong Inc.,4,6,66.67%
357,"I.C.O.N. Line, Inc.",3,10,30.00%
360,"Sun Pharmaceuticals, LLC",3,63,4.76%
361,Nutrimetics Australia Pty Limited,3,4,75.00%
363,Expanscience Laboratoires,3,4,75.00%
365,CosMedix,3,30,10.00%
367,LCA - Laboratori di Chimica Applicata srl,3,11,27.27%
368,Olympic Mountain Products,3,66,4.55%
369,"Physician's Care Alliance, LLC",3,35,8.57%
370,PPP&C Inc.,3,4,75.00%
371,"JINHUA B&F COSMETICS CO., LTD.",3,7,42.86%
377,Cosmopharm Ltd.,3,13,23.08%
378,The Sanctuary Spa Holdings Ltd,3,6,50.00%
379,H&M GUTBERLET GMBH,3,26,11.54%
380,"Kenra Professional, LLC",2,6,33.33%
381,CALI CHEM INC,2,4,50.00%
382,Nail Magic LLC,2,5,40.00%
383,"American Consumer Products, LLC",2,4,50.00%
384,Harmon Stores Inc.,2,34,5.88%
385,Pharmco Laboratories,2,4,50.00%
391,"Guthy-Renker, LLC",2,8,25.00%
392,Athena Cosmetics,2,7,28.57%
393,"Rowpar Pharmaceuticals, Inc",2,4,50.00%
395,"Bielle Cosmetics, Inc",2,5,40.00%
396,Laboratoires Dr N.G PAYOT,2,15,13.33%
397,"SD Biotechnologies USA, Inc.",2,3,66.67%
398,MORRIS PROFUMI SPA,2,5,40.00%
402,Trader Joe's Company,2,9,22.22%
405,Ultraceuticals Pty Ltd,1,17,5.88%
406,AFFLINK,1,8,12.50%
409,Labo International srl,1,17,5.88%
412,Astara Skin Care,1,4,25.00%
414,Hayashi Worldwide,1,5,20.00%
415,"IT Girl Beauty, LLC",1,2,50.00%
419,"G.O Holdings, Inc.",1,9,11.11%
421,"NOEVIR CO., LTD",1,4,25.00%
423,Key Brands International Ltd.,1,8,12.50%
425,"W. W. Grainger, Inc.,",1,3,33.33%
427,WAXIE Sanitary Supply,1,11,9.09%
431,Namaste Laboratories,1,2,50.00%
435,University Medical Pharmaceuticals Corp,1,6,16.67%
438,Archipelago Inc.,1,7,14.29%
439,"Bio-Derm Laboratories, Inc.",1,3,33.33%
440,Pro-Link Inc,1,11,9.09%
441,The Home Depot,1,10,10.00%
445,California Mango,1,3,33.33%
446,Unite Eurotherapy,1,18,5.56%
447,CALIFORNIA NORTH,1,4,25.00%
448,Ca-botana International,1,2,50.00%
454,Pettenon Cosmetici srl,1,6,16.67%
